Id,drug,condition,numOfInstances,averageRating
3159,Clopidogrel,Transient Ischemic Attack,2,8.0
3160,Clopidogrel,"Ischemic Stroke, Prophylaxis",1,10.0
3161,Clopidogrel,Acute Coronary Syndrome,1,9.0
3162,Fluocinolone / hydroquinone / tretinoin,Melasma,38,8.894736842105264
3163,Parnate,Depression,38,8.763157894736842
3164,Tirosint,Underactive Thyroid,17,6.9411764705882355
3165,Tirosint,Hashimoto's disease,14,8.928571428571429
3166,Tirosint,"Hypothyroidism, After Thyroid Removal",6,8.5
3167,Tirosint,TSH Suppression,1,9.0
3168,Dexbrompheniramine / pseudoephedrine,Allergic Rhinitis,13,9.846153846153847
3169,Dexbrompheniramine / pseudoephedrine,Nasal Congestion,11,10.0
3170,Dexbrompheniramine / pseudoephedrine,Sinus Symptoms,6,10.0
3171,Dexbrompheniramine / pseudoephedrine,Cold Symptoms,5,10.0
3172,Maxalt-MLT,Migraine,38,8.973684210526315
3173,Lysine,"Herpes Simplex, Suppression",26,9.346153846153847
3174,Lysine,Herpes Simplex,10,8.4
3175,Lysine,Aphthous Ulce,1,9.0
3176,Lysine,Herbal Supplementation,1,10.0
3177,Prevacid,GERD,30,8.466666666666667
3178,Prevacid,Stomach Ulce,3,5.666666666666667
3179,Prevacid,Erosive Esophagitis,3,10.0
3180,Prevacid,NSAID-Induced Gastric Ulce,1,9.0
3181,Toprol-XL,High Blood Pressure,24,7.125
3182,Toprol-XL,Supraventricular Tachycardia,9,7.444444444444445
3183,Toprol-XL,Atrial Fibrillation,2,7.5
3184,Toprol-XL,Left Ventricular Dysfunction,1,8.0
3185,Toprol-XL,Mitral Valve Prolapse,1,9.0
3186,Flector Patch,Pain,37,7.351351351351352
3187,Secukinumab,Plaque Psoriasis,26,8.038461538461538
3188,Secukinumab,Psoriatic Arthritis,6,3.5
3189,Secukinumab,Ankylosing Spondylitis,5,1.6
3190,Ortho Cyclen,Birth Control,33,6.606060606060606
3191,Ortho Cyclen,Endometriosis,2,9.0
3192,Ortho Cyclen,Ovarian Cysts,2,5.5
3193,Symbyax,Bipolar Disorde,22,8.227272727272727
3194,Symbyax,Depression,13,8.846153846153847
3195,Symbyax,Major Depressive Disorde,2,8.5
3196,Dalfampridine,Multiple Sclerosis,37,8.405405405405405
3197,Pentasa,"Crohn's Disease, Maintenance",25,7.96
3198,Pentasa,Crohn's Disease,5,8.6
3199,Pentasa,"Ulcerative Colitis, Active",4,7.25
3200,Pentasa,Ulcerative Colitis,3,8.0
3201,Xanax XR,Anxiety,21,9.047619047619047
3202,Xanax XR,Panic Disorde,13,9.076923076923077
3203,Xanax XR,Tinnitus,1,10.0
3204,Xanax XR,Depression,1,10.0
3205,Xanax XR,Dysautonomia,1,10.0
3206,Oxytrol,Overactive Bladde,28,7.535714285714286
3207,Oxytrol,Urinary Incontinence,8,8.75
3208,Robaxin,Muscle Spasm,31,6.290322580645161
3209,Robaxin,Opiate Withdrawal,5,7.8
3210,Drixoral Cold and Allergy,Allergic Rhinitis,14,9.928571428571429
3211,Drixoral Cold and Allergy,Nasal Congestion,8,9.875
3212,Drixoral Cold and Allergy,Cold Symptoms,7,10.0
3213,Drixoral Cold and Allergy,Sinus Symptoms,7,10.0
3214,Fastin,Weight Loss,35,7.171428571428572
3215,Fastin,Obesity,1,10.0
3216,Alfuzosin,Benign Prostatic Hyperplasia,35,5.571428571428571
3217,Alfuzosin,Not Listed / Othe,1,10.0
3218,Sucralfate,GERD,17,7.117647058823529
3219,Sucralfate,Stomach Ulce,10,6.8
3220,Sucralfate,Duodenal Ulce,7,9.428571428571429
3221,Sucralfate,Stress Ulcer Prophylaxis,1,10.0
3222,Sucralfate,Not Listed / Othe,1,8.0
3223,Cozaar,High Blood Pressure,33,6.2727272727272725
3224,Cozaar,Diabetic Kidney Disease,3,9.0
3225,Silver sulfadiazine,"Burns, External",35,10.0
3226,Silver sulfadiazine,Not Listed / Othe,1,9.0
3227,Lipitor,High Cholesterol,30,5.166666666666667
3228,Lipitor,Prevention of Cardiovascular Disease,3,5.0
3229,Lipitor,"High Cholesterol, Familial Homozygous",2,4.5
3230,Lipitor,"High Cholesterol, Familial Heterozygous",1,10.0
3231,Capsaicin,Osteoarthritis,12,6.0
3232,Capsaicin,Pain,12,6.75
3233,Capsaicin,Peripheral Neuropathy,5,7.4
3234,Capsaicin,Diabetic Peripheral Neuropathy,3,1.0
3235,Capsaicin,Postherpetic Neuralgia,3,6.0
3236,Capsaicin,Not Listed / Othe,1,9.0
3237,Emollients,Dry Skin,35,6.428571428571429
3238,Colesevelam,"Diarrhea, Chronic",20,9.45
3239,Colesevelam,High Cholesterol,9,7.222222222222222
3240,Colesevelam,"Diabetes, Type 2",5,3.6
3241,Colesevelam,"Hyperlipoproteinemia Type IIa, Elevated LDL",1,8.0
3242,Codeine / promethazine,Cough,36,7.666666666666667
3243,Restoril,Insomnia,36,7.805555555555555
3244,Quasense,Birth Control,25,5.48
3245,Quasense,Abnormal Uterine Bleeding,7,3.0
3246,Quasense,Endometriosis,3,8.333333333333334
3247,Quasense,Ovarian Cysts,1,1.0
3248,Belbuca,Chronic Pain,35,3.6
3249,Belbuca,Pain,1,1.0
3250,Retin-A,Acne,32,8.28125
3251,Retin-A,Photoaging of the Skin,3,9.0
3252,Beclomethasone,"Asthma, Maintenance",22,6.181818181818182
3253,Beclomethasone,Allergic Rhinitis,11,7.2727272727272725
3254,Beclomethasone,Bronchitis,2,6.5
3255,Tenuate,Obesity,35,9.228571428571428
3256,Loratadine / pseudoephedrine,Nasal Congestion,26,7.653846153846154
3257,Loratadine / pseudoephedrine,Allergic Rhinitis,8,4.125
3258,Livalo,High Cholesterol,35,5.628571428571429
3259,Asacol,"Ulcerative Colitis, Maintenance",11,7.090909090909091
3260,Asacol,Ulcerative Colitis,6,5.333333333333333
3261,Asacol,"Crohn's Disease, Maintenance",6,9.166666666666666
3262,Asacol,"Ulcerative Colitis, Active",5,8.0
3263,Asacol,Crohn's Disease,4,7.5
3264,Asacol,Lymphocytic Colitis,2,8.5
3265,Asacol,Inflammatory Bowel Disease,1,9.0
3266,Irbesartan,High Blood Pressure,33,5.090909090909091
3267,Irbesartan,Not Listed / Othe,1,6.0
3268,Irbesartan,Diabetic Kidney Disease,1,9.0
3269,Benadryl,Nausea/Vomiting,9,7.555555555555555
3270,Benadryl,Allergic Rhinitis,9,6.555555555555555
3271,Benadryl,Allergic Reactions,8,8.25
3272,Benadryl,Insomnia,3,6.0
3273,Benadryl,Cold Symptoms,2,9.5
3274,Benadryl,Urticaria,2,8.5
3275,Benadryl,Cough,1,9.0
3276,Benadryl,Extrapyramidal Reaction,1,9.0
3277,Ranolazine,Angina,35,7.2
3278,Natazia,Birth Control,29,6.758620689655173
3279,Natazia,Menorrhagia,6,7.166666666666667
3280,Zubsolv,Opiate Dependence,34,6.970588235294118
3281,Ezetimibe,High Cholesterol,29,5.0
3282,Ezetimibe,"High Cholesterol, Familial Heterozygous",5,9.6
3283,Cyclosporine,Keratoconjunctivitis Sicca,26,4.8076923076923075
3284,Cyclosporine,"Organ Transplant, Rejection Prophylaxis",2,10.0
3285,Cyclosporine,Psoriasis,2,10.0
3286,Cyclosporine,Idiopathic Thrombocytopenic Purpura,1,9.0
3287,Cyclosporine,"Ulcerative Colitis, Active",1,10.0
3288,Cyclosporine,Eczema,1,6.0
3289,Bunavail,Opiate Dependence,34,6.088235294117647
3290,Amrix,Muscle Spasm,24,6.875
3291,Amrix,ibromyalgia,6,7.5
3292,Amrix,Migraine,3,5.0
3293,Amrix,Sciatica,1,10.0
3294,Ethinyl estradiol / ethynodiol,Birth Control,33,5.909090909090909
3295,Ethinyl estradiol / ethynodiol,Abnormal Uterine Bleeding,1,3.0
3296,Clomid,emale Infertility,25,7.68
3297,Clomid,Ovulation Induction,9,7.333333333333333
3298,Amlodipine / olmesartan,High Blood Pressure,34,8.735294117647058
3299,Hydrocortisone,Eczema,7,8.857142857142858
3300,Hydrocortisone,Hemorrhoids,6,7.333333333333333
3301,Hydrocortisone,Dermatitis,5,7.8
3302,Hydrocortisone,Adrenocortical Insufficiency,5,7.2
3303,Hydrocortisone,Addison's Disease,3,8.666666666666666
3304,Hydrocortisone,Pruritus,2,7.5
3305,Hydrocortisone,Atopic Dermatitis,2,4.5
3306,Hydrocortisone,Skin Rash,1,10.0
3307,Hydrocortisone,Psoriasis,1,10.0
3308,Hydrocortisone,Ulcerative Proctitis,1,4.0
3309,Hydrocortisone,Inflammatory Conditions,1,9.0
3310,Prevpac,Helicobacter Pylori Infection,34,8.088235294117647
3311,Keflex,Skin or Soft Tissue Infection,13,7.538461538461538
3312,Keflex,Bacterial Infection,8,7.75
3313,Keflex,Bladder Infection,4,6.5
3314,Keflex,Upper Respiratory Tract Infection,3,4.0
3315,Keflex,Acne,3,6.666666666666667
3316,Keflex,Kidney Infections,1,10.0
3317,Keflex,Bone infection,1,7.0
3318,Keflex,Otitis Media,1,8.0
3319,Plecanatide,Chronic Idiopathic Constipation,33,7.606060606060606
3320,Hysingla ER,Pain,34,4.176470588235294
3321,Protonix,GERD,19,6.842105263157895
3322,Protonix,Stomach Ulce,6,8.0
3323,Protonix,Erosive Esophagitis,3,7.0
3324,Protonix,Peptic Ulce,2,9.5
3325,Protonix,Duodenal Ulce,2,8.0
3326,Protonix,Barrett's Esophagus,2,10.0
3327,Votrient,Renal Cell Carcinoma,26,8.153846153846153
3328,Votrient,Soft Tissue Sarcoma,8,8.75
3329,Propafenone,Atrial Fibrillation,27,8.333333333333334
3330,Propafenone,Ventricular Tachycardia,5,8.0
3331,Propafenone,Not Listed / Othe,1,7.0
3332,Chlorpromazine,Hiccups,12,8.916666666666666
3333,Chlorpromazine,Schizophrenia,7,9.142857142857142
3334,Chlorpromazine,Mania,4,4.75
3335,Chlorpromazine,Light Sedation,3,10.0
3336,Chlorpromazine,Opiate Withdrawal,2,8.5
3337,Chlorpromazine,Porphyria,1,7.0
3338,Chlorpromazine,Nausea/Vomiting,1,9.0
3339,Chlorpromazine,Psychosis,1,6.0
3340,Amlodipine / valsartan,ge (amlodipine / valsartan),33,6.0606060606060606
3341,Makena,Premature Lab,33,7.333333333333333
3342,Butorphanol,Pain,21,9.380952380952381
3343,Butorphanol,Labor Pain,12,7.416666666666667
3344,Tolterodine,Overactive Bladde,25,7.0
3345,Tolterodine,Urinary Incontinence,8,7.125
3346,Antabuse,Alcohol Dependence,33,9.151515151515152
3347,Imuran,Systemic Lupus Erythematosus,9,5.111111111111111
3348,Imuran,Ulcerative Colitis,7,7.428571428571429
3349,Imuran,"Crohn's Disease, Maintenance",7,6.857142857142857
3350,Imuran,Crohn's Disease,4,4.5
3351,Imuran,Rheumatoid Arthritis,2,4.5
3352,Imuran,"Crohn's Disease, Acute",1,2.0
3353,Imuran,Renal Transplant,1,10.0
3354,Imuran,Autoimmune Hepatitis,1,10.0
3355,Imuran,Atopic Dermatitis,1,7.0
3356,Reclast,Osteoporosis,30,6.133333333333334
3357,Reclast,Prevention of Osteoporosis,3,8.333333333333334
3358,Repatha,High Cholesterol,22,5.136363636363637
3359,Repatha,"High Cholesterol, Familial Heterozygous",9,8.11111111111111
3360,Repatha,"High Cholesterol, Familial Homozygous",2,8.0
3361,Hydrochlorothiazide / triamterene,High Blood Pressure,23,5.6521739130434785
3362,Hydrochlorothiazide / triamterene,Edema,10,6.0
3363,Glimepiride,"Diabetes, Type 2",33,7.666666666666667
3364,Catapres,Opiate Withdrawal,14,8.428571428571429
3365,Catapres,ADHD,3,9.333333333333334
3366,Catapres,Bipolar Disorde,3,5.666666666666667
3367,Catapres,Hypertensive Emergency,3,9.0
3368,Catapres,Tourette's Syndrome,2,10.0
3369,Catapres,Anxiety,2,4.5
3370,Catapres,"Insomnia, Stimulant-Associated",2,6.0
3371,Catapres,Alcohol Withdrawal,1,8.0
3372,Catapres,Perimenopausal Symptoms,1,10.0
3373,Catapres,Benzodiazepine Withdrawal,1,7.0
3374,Catapres,Hyperhidrosis,1,8.0
3375,Lysteda,Menorrhagia,24,8.875
3376,Lysteda,Menstrual Disorders,9,7.444444444444445
3377,Carbidopa / levodopa,Parkinson's Disease,18,6.222222222222222
3378,Carbidopa / levodopa,Restless Legs Syndrome,15,7.866666666666666
3379,Aciphex,GERD,22,9.363636363636363
3380,Aciphex,Helicobacter Pylori Infection,4,9.5
3381,Aciphex,Erosive Esophagitis,4,7.75
3382,Aciphex,Barrett's Esophagus,1,8.0
3383,Aciphex,Stomach Ulce,1,10.0
3384,Aciphex,Duodenal Ulce,1,9.0
3385,Penciclovir,Cold Sores,32,9.25
3386,Endocet,Pain,26,7.576923076923077
3387,Endocet,Chronic Pain,6,9.0
3388,Dienogest / estradiol,Birth Control,24,6.625
3389,Dienogest / estradiol,Menorrhagia,8,7.625
3390,Cosentyx,Plaque Psoriasis,19,8.157894736842104
3391,Cosentyx,Psoriatic Arthritis,8,3.0
3392,Cosentyx,Ankylosing Spondylitis,5,1.6
3393,Exemestane,Breast Cance,32,4.9375
3394,Tri-Luma,Melasma,32,8.78125
3395,Sulfacetamide sodium / sulfur,Acne,18,7.333333333333333
3396,Sulfacetamide sodium / sulfur,Rosacea,12,8.5
3397,Sulfacetamide sodium / sulfur,Seborrheic Dermatitis,2,9.5
3398,Sodium biphosphate / sodium phosphate,Constipation,23,9.478260869565217
3399,Sodium biphosphate / sodium phosphate,Bowel Preparation,7,5.857142857142857
3400,Chlordiazepoxide / clidinium,Irritable Bowel Syndrome,30,8.966666666666667
3401,Chlordiazepoxide / clidinium,Enterocolitis,2,9.5
3402,Lidoderm,Pain,28,6.428571428571429
3403,Lidoderm,Postherpetic Neuralgia,3,4.333333333333333
3404,Lidoderm,Anesthesia,1,9.0
3405,Chlorzoxazone,Muscle Spasm,32,6.65625
3406,Donepezil,Alzheimer's Disease,24,5.125
3407,Donepezil,Mild Cognitive Impairment,4,5.0
3408,Donepezil,Lewy Body Dementia,3,9.333333333333334
3409,Oracea,Rosacea,30,8.433333333333334
3410,Oracea,Ocular Rosacea,1,10.0
3411,Arimidex,Breast Cance,29,6.068965517241379
3412,Arimidex,"Breast Cancer, Metastatic",1,9.0
3413,Arimidex,Endometrial Cance,1,8.0
3414,Tamoxifen,Breast Cance,27,5.518518518518518
3415,Tamoxifen,"Breast Cancer, Adjuvant",2,9.5
3416,Tamoxifen,"Breast Cancer, Prevention",2,7.5
3417,Estrace Vaginal Cream,Atrophic Vaginitis,23,6.391304347826087
3418,Estrace Vaginal Cream,Atrophic Urethritis,5,4.6
3419,Estrace Vaginal Cream,Hypoestrogenism,3,9.666666666666666
3420,Insulin degludec,"Diabetes, Type 1",17,5.235294117647059
3421,Insulin degludec,"Diabetes, Type 2",14,6.5
3422,Eliquis,Prevention of Thromboembolism in Atrial Fibrillation,22,7.0
3423,Eliquis,Deep Vein Thrombosis,5,5.8
3424,Eliquis,Pulmonary Embolism,3,8.0
3425,Eliquis,Thromboembolic Stroke Prophylaxis,1,1.0
3426,Evolocumab,High Cholesterol,16,6.8125
3427,Evolocumab,"High Cholesterol, Familial Heterozygous",13,7.923076923076923
3428,Evolocumab,"High Cholesterol, Familial Homozygous",2,10.0
3429,Vaniqa,Hirsutism,31,8.483870967741936
3430,Roflumilast,COPD,21,8.238095238095237
3431,Roflumilast,"COPD, Maintenance",10,4.8
3432,Hydrochlorothiazide / lisinopril,High Blood Pressure,31,6.967741935483871
3433,Metformin / sitagliptin,min / sitagliptin),26,5.884615384615385
3434,Metformin / sitagliptin,"Diabetes, Type 2",5,5.0
3435,Mefenamic acid,Period Pain,27,6.962962962962963
3436,Mefenamic acid,Pain,2,5.5
3437,Mefenamic acid,Not Listed / Othe,1,1.0
3438,Eflornithine,Hirsutism,30,8.1
3439,Sonata,Insomnia,31,6.741935483870968
3440,Mycophenolate mofetil,Myasthenia Gravis,12,8.333333333333334
3441,Mycophenolate mofetil,"Organ Transplant, Rejection Prophylaxis",5,9.0
3442,Mycophenolate mofetil,Systemic Lupus Erythematosus,4,8.5
3443,Mycophenolate mofetil,Autoimmune Hepatitis,3,9.0
3444,Mycophenolate mofetil,Nephrotic Syndrome,2,9.5
3445,Mycophenolate mofetil,Multiple Sclerosis,1,9.0
3446,Mycophenolate mofetil,Psoriatic Arthritis,1,10.0
3447,Mycophenolate mofetil,Rheumatoid Arthritis,1,9.0
3448,Mycophenolate mofetil,Uveitis,1,9.0
3449,Hydroxyprogesterone,Premature Lab,31,6.387096774193548
3450,Sovaldi,Hepatitis C,31,7.483870967741935
3451,ProAir RespiClick,"Asthma, acute",22,1.2727272727272727
3452,ProAir RespiClick,Bronchiectasis,3,1.0
3453,ProAir RespiClick,"COPD, Acute",2,1.0
3454,ProAir RespiClick,"Asthma, Maintenance",2,1.0
3455,ProAir RespiClick,"COPD, Maintenance",1,1.0
3456,ProAir RespiClick,Bronchospasm Prophylaxis,1,1.0
3457,Betamethasone / calcipotriene,Psoriasis,26,7.461538461538462
3458,Betamethasone / calcipotriene,Plaque Psoriasis,4,7.0
3459,Nature-Throid,Underactive Thyroid,15,6.733333333333333
3460,Nature-Throid,Hashimoto's disease,11,7.0
3461,Nature-Throid,"Hypothyroidism, After Thyroid Removal",3,10.0
3462,Nature-Throid,Thyroid Cance,1,10.0
3463,Kadian,Pain,20,8.0
3464,Kadian,Chronic Pain,10,8.4
3465,Morphine / naltrexone,Chronic Pain,23,4.695652173913044
3466,Morphine / naltrexone,Pain,7,7.857142857142857
3467,Phenelzine,Depression,26,9.076923076923077
3468,Phenelzine,Migraine Prevention,2,7.0
3469,Leflunomide,Rheumatoid Arthritis,29,6.931034482758621
3470,Leflunomide,Psoriatic Arthritis,1,8.0
3471,Zovia,Birth Control,30,5.666666666666667
3472,Atropine / diphenoxylate,Diarrhea,30,8.2
3473,Dofetilide,Arrhythmia,30,7.933333333333334
3474,Xifaxan,Irritable Bowel Syndrome,22,5.863636363636363
3475,Xifaxan,Crohn's Disease,4,9.25
3476,Xifaxan,Diarrhea,2,9.0
3477,Xifaxan,Traveler's Diarrhea,1,9.0
3478,Xifaxan,Hepatic Encephalopathy,1,10.0
3479,Next Choice,Emergency Contraception,30,7.7
3480,Dimenhydrinate,Motion Sickness,19,9.263157894736842
3481,Dimenhydrinate,Nausea/Vomiting,7,9.571428571428571
3482,Dimenhydrinate,Insomnia,3,9.666666666666666
3483,Dimenhydrinate,Not Listed / Othe,1,9.0
3484,Acetaminophen / tramadol,Pain,26,7.1923076923076925
3485,Acetaminophen / tramadol,Rheumatoid Arthritis,3,8.666666666666666
3486,Acetaminophen / tramadol,Not Listed / Othe,1,8.0
3487,Glipizide,"Diabetes, Type 2",29,6.724137931034483
3488,Glipizide,Not Listed / Othe,1,8.0
3489,Qvar,"Asthma, Maintenance",28,5.571428571428571
3490,Qvar,Bronchitis,2,6.5
3491,Daliresp,COPD,20,8.05
3492,Daliresp,"COPD, Maintenance",10,5.6
3493,Camila,Birth Control,26,4.615384615384615
3494,Camila,Endometriosis,3,2.0
3495,Camila,Abnormal Uterine Bleeding,1,1.0
3496,Pseudoephedrine,Nasal Congestion,29,6.862068965517241
3497,Pseudoephedrine,Not Listed / Othe,1,10.0
3498,Acetaminophen,Pain,21,7.761904761904762
3499,Acetaminophen,eve,5,9.6
3500,Acetaminophen,Sciatica,2,5.5
3501,Acetaminophen,Muscle Pain,2,9.5
3502,Vicoprofen,Pain,30,8.066666666666666
3503,Femara,Breast Cance,17,6.470588235294118
3504,Femara,"Breast Cancer, Metastatic",6,6.833333333333333
3505,Femara,"Breast Cancer, Adjuvant",5,8.6
3506,Femara,emale Infertility,1,10.0
3507,Sumavel DosePro,Migraine,25,8.28
3508,Sumavel DosePro,Cluster Headaches,4,7.75
3509,Diclofenac / misoprostol,Osteoarthritis,15,7.733333333333333
3510,Diclofenac / misoprostol,Sciatica,7,9.0
3511,Diclofenac / misoprostol,Rheumatoid Arthritis,5,6.8
3512,Nasacort,Allergic Rhinitis,29,6.482758620689655
3513,Pitavastatin,High Cholesterol,29,6.068965517241379
3514,Nasonex,Allergic Rhinitis,23,7.782608695652174
3515,Nasonex,Nasal Polyps,3,5.0
3516,Nasonex,Sinus Symptoms,3,4.333333333333333
3517,Formoterol / mometasone,moterol / mometasone),29,5.896551724137931
3518,Oxazepam,Anxiety,24,9.208333333333334
3519,Oxazepam,Insomnia,4,8.0
3520,Oxazepam,Alcohol Withdrawal,1,9.0
3521,Omnicef,Otitis Media,11,7.0
3522,Omnicef,Sinusitis,5,6.4
3523,Omnicef,Bronchitis,5,5.0
3524,Omnicef,Tonsillitis/Pharyngitis,3,10.0
3525,Omnicef,Pneumonia,2,5.0
3526,Omnicef,Strep Throat,2,4.5
3527,Errin,Birth Control,23,5.0
3528,Errin,Endometriosis,3,4.333333333333333
3529,Errin,Abnormal Uterine Bleeding,2,3.5
3530,Azithromycin Dose Pack,Bronchitis,7,6.714285714285714
3531,Azithromycin Dose Pack,Sinusitis,6,8.0
3532,Azithromycin Dose Pack,Upper Respiratory Tract Infection,4,5.25
3533,Azithromycin Dose Pack,Tonsillitis/Pharyngitis,4,6.25
3534,Azithromycin Dose Pack,Pneumonia,2,4.5
3535,Azithromycin Dose Pack,Pharyngitis,2,9.0
3536,Azithromycin Dose Pack,Bacterial Infection,1,10.0
3537,Azithromycin Dose Pack,Chlamydia Infection,1,2.0
3538,Azithromycin Dose Pack,"COPD, Acute",1,8.0
3539,Denavir,Cold Sores,28,8.821428571428571
3540,Imipramine,Depression,11,6.454545454545454
3541,Imipramine,Panic Disorde,11,8.181818181818182
3542,Imipramine,Night Terrors,2,9.5
3543,Imipramine,Irritable Bowel Syndrome,1,7.0
3544,Imipramine,ADHD,1,3.0
3545,Imipramine,Primary Nocturnal Enuresis,1,3.0
3546,Imipramine,Interstitial Cystitis,1,9.0
3547,Sotalol,Atrial Fibrillation,26,7.6923076923076925
3548,Sotalol,Ventricular Arrhythmia,1,5.0
3549,Sotalol,Atrial Flutte,1,5.0
3550,Atralin,Acne,25,8.08
3551,Atralin,Photoaging of the Skin,3,9.666666666666666
3552,Zohydro ER,Pain,28,8.5
3553,Codeine,Pain,22,7.681818181818182
3554,Codeine,Diarrhea,4,9.5
3555,Codeine,Cough,2,10.0
3556,Restasis,Keratoconjunctivitis Sicca,28,6.0
3557,Falmina,Birth Control,24,4.916666666666667
3558,Falmina,Abnormal Uterine Bleeding,2,4.0
3559,Falmina,Polycystic Ovary Syndrome,1,8.0
3560,Falmina,Endometriosis,1,5.0
3561,Amiodarone,Arrhythmia,16,5.4375
3562,Amiodarone,Ventricular Tachycardia,7,7.285714285714286
3563,Amiodarone,Ventricular Fibrillation,5,4.2
3564,Coreg,Heart Failure,14,9.714285714285714
3565,Coreg,High Blood Pressure,9,3.888888888888889
3566,Coreg,Left Ventricular Dysfunction,4,9.0
3567,Coreg,Atrial Fibrillation,1,6.0
3568,Triazolam,Insomnia,26,9.423076923076923
3569,Triazolam,Not Listed / Othe,1,8.0
3570,Premarin,Postmenopausal Symptoms,13,8.692307692307692
3571,Premarin,Oophorectomy,5,9.4
3572,Premarin,Atrophic Vaginitis,3,5.666666666666667
3573,Premarin,Abnormal Uterine Bleeding,3,3.6666666666666665
3574,Premarin,Primary Ovarian Failure,2,7.5
3575,Premarin,Osteoporosis,1,10.0
3576,Premarin,Hypoestrogenism,1,10.0
3577,Taclonex,Psoriasis,26,7.961538461538462
3578,Taclonex,Plaque Psoriasis,1,9.0
3579,Zonegran,Seizures,15,7.933333333333334
3580,Zonegran,Migraine Prevention,11,7.545454545454546
3581,Zonegran,Benign Essential Trem,1,1.0
3582,Avanafil,Erectile Dysfunction,27,6.333333333333333
3583,Desyrel,Insomnia,7,6.285714285714286
3584,Desyrel,Sedation,7,8.857142857142858
3585,Desyrel,ibromyalgia,6,7.166666666666667
3586,Desyrel,Depression,3,7.333333333333333
3587,Desyrel,Anxiety,2,8.0
3588,Desyrel,Major Depressive Disorde,2,4.0
3589,Metadate CD,ADHD,27,6.851851851851852
3590,Febuxostat,Gout,27,8.481481481481481
3591,Dramamine,Motion Sickness,19,9.578947368421053
3592,Dramamine,Nausea/Vomiting,8,9.625
3593,Uloric,Gout,27,8.481481481481481
3594,Frova,Migraine,27,9.185185185185185
3595,Trulance,Chronic Idiopathic Constipation,27,8.037037037037036
3596,Midazolam,Light Anesthesia,13,4.6923076923076925
3597,Midazolam,Light Sedation,12,6.25
3598,Midazolam,ICU Agitation,1,6.0
3599,Afrin,Nasal Congestion,27,4.222222222222222
3600,Exforge,High Blood Pressure,27,6.148148148148148
3601,Toviaz,Overactive Bladde,25,5.08
3602,Toviaz,Urinary Incontinence,2,5.5
3603,Stadol,Pain,17,8.411764705882353
3604,Stadol,Labor Pain,10,6.5
3605,Fenofibrate,Hypertriglyceridemia,16,6.375
3606,Fenofibrate,Hyperlipoproteinemia,6,5.166666666666667
3607,Fenofibrate,"Hyperlipoproteinemia Type IIa, Elevated LDL",3,5.666666666666667
3608,Fenofibrate,Not Listed / Othe,2,9.5
3609,Xeljanz,Rheumatoid Arthritis,27,5.62962962962963
3610,Aldara,Human Papilloma Virus,13,7.769230769230769
3611,Aldara,Basal Cell Carcinoma,8,5.875
3612,Aldara,Keratosis,4,9.25
3613,Aldara,Condylomata Acuminata,2,6.0
3614,Frovatriptan,Migraine,27,9.222222222222221
3615,Warfarin,"Deep Vein Thrombosis, First Event",5,8.4
3616,Warfarin,"Prosthetic Heart Valves, Mechanical Valves - Thrombosis Prophylaxis",4,9.75
3617,Warfarin,"Pulmonary Embolism, Recurrent Event",3,8.666666666666666
3618,Warfarin,Prevention of Thromboembolism in Atrial Fibrillation,3,7.0
3619,Warfarin,Heart Attack,3,5.0
3620,Warfarin,"Pulmonary Embolism, First Event",3,9.0
3621,Warfarin,Antiphospholipid Syndrome,2,7.0
3622,Warfarin,"Prosthetic Heart Valves, Tissue Valves - Thrombosis Prophylaxis",1,9.0
3623,Warfarin,"Deep Vein Thrombosis, Recurrent Event",1,2.0
3624,Warfarin,Deep Vein Thrombosis Prophylaxis after Knee Replacement Surgery,1,10.0
3625,Warfarin,Heart Failure,1,10.0
3626,Loperamide,Diarrhea,13,8.384615384615385
3627,Loperamide,"Diarrhea, Chronic",7,9.857142857142858
3628,Loperamide,"Diarrhea, Acute",5,10.0
3629,Loperamide,Traveler's Diarrhea,2,6.0
3630,Sofosbuvir,Hepatitis C,27,7.222222222222222
3631,Cabergoline,Hyperprolactinemia,27,8.222222222222221
3632,Lactulose,"Constipation, Chronic",18,9.055555555555555
3633,Lactulose,"Constipation, Acute",9,8.555555555555555
3634,Nardil,Depression,25,8.64
3635,Nardil,Migraine Prevention,2,7.0
3636,Selegiline,Depression,21,8.333333333333334
3637,Selegiline,Parkinson's Disease,3,9.666666666666666
3638,Selegiline,Major Depressive Disorde,1,8.0
3639,Selegiline,ADHD,1,10.0
3640,Junel Fe 1.5 / 30,Birth Control,22,5.590909090909091
3641,Junel Fe 1.5 / 30,Acne,2,2.0
3642,Junel Fe 1.5 / 30,Abnormal Uterine Bleeding,2,1.0
3643,Bonine,Motion Sickness,18,8.777777777777779
3644,Bonine,Vertig,6,8.5
3645,Bonine,Nausea/Vomiting,2,9.0
3646,Rotigotine,Restless Legs Syndrome,21,8.666666666666666
3647,Rotigotine,Parkinson's Disease,5,6.8
3648,Fluocinonide,Psoriasis,12,7.583333333333333
3649,Fluocinonide,Dermatitis,7,9.857142857142858
3650,Fluocinonide,Atopic Dermatitis,3,7.666666666666667
3651,Fluocinonide,Lichen Planus,2,10.0
3652,Fluocinonide,Granuloma Annulare,1,10.0
3653,Stendra,Erectile Dysfunction,26,5.961538461538462
3654,Viorele,Birth Control,26,5.076923076923077
